id,building,floor,orientation,deskNo
417,B,4,SE,12
418,B,4,SE,21
419,B,4,SE,24
420,B,4,SE,22
421,B,4,SE,23
422,B,4,SE,20
423,B,4,SE,18
424,B,4,SE,16
425,B,4,SE,15
426,B,4,SE,13
427,B,4,SE,14
428,B,4,SE,99
429,B,4,SE,98
430,B,4,SW,98
431,B,4,NE,14
432,B,4,NE,21
433,B,4,NE,22
434,B,4,NE,24
435,B,4,NE,23
436,B,4,NE,5
437,B,4,NE,4
438,B,4,NE,2
439,B,4,NW,99
440,B,4,NW,2
441,B,4,NW,3
442,B,4,NW,6
443,B,4,NW,8
444,B,4,NW,10
445,B,4,NW,9
446,B,4,NW,11
447,B,4,NW,12
448,B,4,NW,23
449,B,4,NW,24
450,B,4,NW,22
451,B,4,NW,21
452,B,4,NW,20
453,B,4,NW,18
454,B,4,NW,16
455,B,4,NW,15
456,B,4,NW,13
457,B,4,NW,14
458,B,2,SE,13
459,B,2,SE,16
460,B,2,SE,14
461,B,2,SE,15
462,B,2,SE,20
463,B,2,SE,18
464,B,2,SE,21
465,B,2,SE,23
466,B,2,SE,24
467,B,2,SE,11
468,B,2,SE,12
469,B,2,SE,10
470,B,2,SE,9
471,B,2,SE,8
472,B,1,NW,14
473,B,1,NW,13
474,B,1,NW,15
475,B,1,NW,16
476,B,1,NW,18
477,B,1,NW,20
478,B,1,NW,22
479,B,1,NW,21
480,B,1,NW,23
481,B,1,NW,24
482,B,1,NW,12
483,B,1,NW,11
484,B,1,NW,9
485,B,1,NW,10
486,B,1,NW,8
487,B,1,NW,6
488,B,1,NW,4
489,B,1,NW,2
490,B,1,NW,3
491,B,1,NW,1
492,B,1,NW,99
493,B,2,SE,22
494,B,2,SE,6
495,B,2,SE,4
496,B,2,SE,3
497,B,2,SE,1
498,B,2,SE,2
499,B,2,SE,99
500,B,2,SW,14
501,B,2,SW,16
502,B,2,SW,17
503,B,2,SW,19
504,B,2,SW,20
505,B,2,SW,21
506,B,2,SW,24
507,B,2,SW,9
508,B,2,SW,8
509,B,2,SW,3
510,B,2,SW,1
511,B,2,SW,2
512,B,2,SW,99
513,B,2,NW,6
514,B,2,NE,1
515,B,2,NE,4
516,B,2,NE,3
517,B,2,NE,6
518,B,2,NE,8
519,B,2,NE,9
520,B,2,NE,12
521,B,2,NE,22
522,B,2,NE,18
523,B,2,NE,16
524,B,2,NE,14
525,B,2,NE,13
526,B,5,SE,14
527,B,5,SE,16
528,B,5,SE,18
529,B,5,SE,17
530,B,5,SE,19
531,B,5,SE,20
532,B,5,SE,22
533,B,5,SE,9
534,B,5,SE,11
535,B,5,SE,8
536,B,5,SE,6
537,B,5,SE,4
538,B,5,SE,3
539,B,5,SE,1
540,B,5,SE,2
541,B,5,SW,1
542,B,5,SW,2
543,B,5,SW,4
544,B,5,SW,3
545,B,5,SW,6
546,B,5,SW,8
547,B,5,SW,10
